BJD,V,V_error
2457998.32657471,12.298,0.021
2457998.32763971,12.309,0.021
2457998.32870472,12.299,0.021
2457998.32975773,12.289,0.021
2457998.33082274,12.295,0.021
2457998.33188775,12.304,0.021
2457998.33294076,12.312,0.02
2457998.33401676,12.323,0.02
2457998.33509377,12.326,0.02
2457998.33614678,12.332,0.02
2457998.33721179,12.345,0.02
2457998.3382878,12.333,0.02
2457998.33936481,12.371,0.02
2457998.34039481,12.354,0.02
2457998.34144782,12.388,0.02
2457998.34248983,12.394,0.02
2457998.34353084,12.419,0.02
2457998.34457285,12.425,0.02
2457998.34562586,12.4,0.02
2457998.34665587,12.426,0.02
2457998.34770987,12.422,0.02
2457998.34873988,12.443,0.019
2457998.34981589,12.438,0.019
2457998.3508689,12.441,0.019
2457998.35194591,12.446,0.019
2457998.35297591,12.459,0.019
2457998.35401692,12.454,0.019
2457998.35505893,12.478,0.019
2457998.35612394,12.451,0.019
2457998.35717695,12.461,0.019
2457998.35821895,12.464,0.019
2457998.35927196,12.48,0.019
2457998.36033697,12.472,0.018
2457998.36138998,12.469,0.018
2457998.36244299,12.461,0.018
2457998.36353099,12.489,0.018
2457998.364596,12.476,0.018
2457998.36567301,12.48,0.018
2457998.36676102,12.482,0.018
2457998.36781403,12.464,0.018
2457998.36889004,12.464,0.018
2457998.36995505,12.479,0.018
2457998.37104305,12.455,0.018
2457998.37213106,12.48,0.018
2457998.37321907,12.474,0.018
2457998.37424908,12.472,0.018
2457998.37534809,12.472,0.018
2457998.37643609,12.451,0.018
2457998.3774671,12.479,0.018
2457998.37855411,12.434,0.018
2457998.37963112,12.45,0.018
2457998.38143613,12.426,0.017
2457998.38247814,12.412,0.017
2457998.38354315,12.406,0.017
2457998.38457315,12.368,0.017
2457998.38563816,12.366,0.017
2457998.38666817,12.327,0.017
2457998.38775618,12.29,0.017
2457998.38883219,12.306,0.016
2457998.38990919,12.266,0.017
2457998.3909502,12.274,0.016
2457998.39198021,12.281,0.016
2457998.39308022,12.286,0.016
2457998.39415623,12.306,0.016
2457998.39519823,12.334,0.016
2457998.39628624,12.316,0.016
2457998.39737425,12.341,0.016
2457998.39843926,12.34,0.016
2457998.39948027,12.366,0.016
2457998.40052227,12.382,0.016
2457998.40157528,12.374,0.016
2457998.40260529,12.359,0.016
2457998.4036823,12.383,0.016
2457998.4047473,12.387,0.016
2457998.40582331,12.4,0.016
2457998.40689932,12.407,0.016
2457998.40797633,12.413,0.016
2457998.40905234,12.41,0.016
2457998.41011734,12.447,0.016
2457998.41119335,12.432,0.016
2457998.41227036,12.447,0.016
2457998.41335837,12.436,0.016
2457998.41444638,12.444,0.016
2457998.41551138,12.441,0.016
2457998.41658739,12.449,0.016
2457998.4176284,12.447,0.016
2457998.41872841,12.444,0.016
2457998.41980442,12.459,0.016
2457998.42088142,12.453,0.016
2457998.42195743,12.467,0.016
2457998.42302244,12.453,0.016
2457998.42408745,12.471,0.016
2457998.42516345,12.456,0.016
2457998.42624046,12.472,0.016
2457998.42735147,12.489,0.016
2457998.42838148,12.464,0.016
2457998.42946948,12.491,0.016
2457998.43054549,12.476,0.015
2457998.4316335,12.488,0.016
2457998.43271051,12.497,0.016
2457998.43377451,12.474,0.015
2457998.43485152,12.471,0.015
2457998.43593953,12.48,0.015
2457998.43700454,12.488,0.015
2457998.43809255,12.475,0.015
2457998.43916855,12.47,0.015
2457998.44026756,12.457,0.015
2457998.44133257,12.434,0.015
2457998.44240958,12.453,0.015
2457998.44349758,12.422,0.015
