Phase,BJD,JD,V,V_error
1.668083246,2457817.59914371,2457817.59599,17.825,0.0330121178
1.6726677622,2457817.59948373,2457817.59633,17.876,0.0370108086
1.6773872485,2457817.59983376,2457817.59668,17.862,0.0330121186
1.6821067348,2457817.60018379,2457817.59703,17.895,0.034011761
1.6868262211,2457817.60053382,2457817.59738,17.938,0.0350114254
1.6914108692,2457817.60087385,2457817.59772,17.899,0.0340117613
1.6961302236,2457817.60122387,2457817.59807,17.823,0.0330121174
1.7008497036,2457817.6015739,2457817.59842,17.91,0.034011761
1.705434358,2457817.60191393,2457817.59876,17.959,0.0380105234
1.7101538443,2457817.60226396,2457817.59911,17.948,0.0380105232
1.7148733306,2457817.60261399,2457817.59946,17.952,0.0360111081
1.7195926788,2457817.60296401,2457817.59981,17.812,0.0330121178
1.7241773332,2457817.60330404,2457817.60015,17.863,0.0330121175
1.7288968132,2457817.60365407,2457817.6005,17.959,0.0350114253
1.7336162994,2457817.6040041,2457817.60085,17.805,0.032012496
1.7383357857,2457817.60435413,2457817.6012,17.949,0.0340117617
1.742920302,2457817.60469415,2457817.60154,17.853,0.0320124963
1.7476397883,2457817.60504418,2457817.60189,17.931,0.0360111083
1.7523592746,2457817.60539421,2457817.60224,17.78,0.0340117613
1.7569439227,2457817.60573424,2457817.60258,17.915,0.0350114254
1.7616632771,2457817.60608426,2457817.60293,17.871,0.0330121188
1.7663827571,2457817.60643429,2457817.60328,17.804,0.0320124958
1.7711022434,2457817.60678432,2457817.60363,17.762,0.0300133287
1.7756868978,2457817.60712435,2457817.60397,17.783,0.0330121174
1.7804063841,2457817.60747438,2457817.60432,17.796,0.0330121174
1.7851258641,2457817.60782441,2457817.60467,17.734,0.0290137874
1.7898452185,2457817.60817443,2457817.60502,17.84,0.032012496
1.7944298666,2457817.60851446,2457817.60536,17.855,0.0330121176
1.7991493529,2457817.60886449,2457817.60571,17.778,0.0320124965
1.8038688392,2457817.60921452,2457817.60606,17.732,0.0320124959
1.8319158106,2457817.61129468,2457817.60814,17.682,0.0290137884
1.8366352969,2457817.61164471,2457817.60849,17.72,0.0290137881
1.8459394376,2457817.61233477,2457817.60918,17.736,0.0280142803
1.8506589176,2457817.6126848,2457817.60953,17.628,0.0270148083
1.855378272,2457817.61303482,2457817.60988,17.686,0.0260153776
1.860097752,2457817.61338485,2457817.61023,17.613,0.0270148091
1.8694018927,2457817.61407491,2457817.61092,17.663,0.0280142806
1.874121379,2457817.61442494,2457817.61127,17.601,0.026015378
1.8787058952,2457817.61476496,2457817.61161,17.659,0.029013788
1.8834253815,2457817.61511499,2457817.61196,17.735,0.031012899
1.8881448615,2457817.61546502,2457817.61231,17.635,0.0290137886
1.8928643478,2457817.61581505,2457817.61266,17.674,0.0290137883
1.8974488641,2457817.61615507,2457817.613,17.639,0.0280142801
1.9021683504,2457817.6165051,2457817.61335,17.685,0.0320124959
1.9068878366,2457817.61685513,2457817.6137,17.609,0.0260153779
1.9116073229,2457817.61720516,2457817.61405,17.599,0.0270148085
1.9161919711,2457817.61754519,2457817.61439,17.555,0.0260153779
1.9209113255,2457817.61789521,2457817.61474,17.629,0.0260153782
1.9256308055,2457817.61824524,2457817.61509,17.651,0.0260153779
1.9303502918,2457817.61859527,2457817.61544,17.646,0.0290137881
1.9349349462,2457817.6189353,2457817.61578,17.632,0.0270148089
1.9396544325,2457817.61928533,2457817.61613,17.644,0.0270148083
1.9443737806,2457817.61963535,2457817.61648,17.731,0.0300133286
1.948958435,2457817.61997538,2457817.61682,17.64,0.0270148091
1.953677915,2457817.62032541,2457817.61717,17.636,0.0290137883
1.9583974013,2457817.62067544,2457817.61752,17.687,0.0280142803
1.9631167494,2457817.62102546,2457817.61787,17.644,0.0280142801
1.9677014038,2457817.62136549,2457817.61821,17.705,0.0300133292
1.9724208901,2457817.62171552,2457817.61856,17.658,0.0280142806
1.9771403764,2457817.62206555,2457817.61891,17.607,0.0270148085
1.9818598564,2457817.62241558,2457817.61926,17.639,0.0270148089
1.986444379,2457817.6227556,2457817.6196,17.619,0.0270148087
1.991163859,2457817.62310563,2457817.61995,17.696,0.0270148091
1.9958833453,2457817.62345566,2457817.6203,17.701,0.0290137885
2.0004679997,2457817.62379569,2457817.62064,17.661,0.0270148084
2.0051874859,2457817.62414572,2457817.62099,17.715,0.0280142803
2.0099068341,2457817.62449574,2457817.62134,17.576,0.0260153781
2.0146263204,2457817.62484577,2457817.62169,17.679,0.0270148091
2.0192109685,2457817.6251858,2457817.62203,17.597,0.0260153785
2.0239304548,2457817.62553583,2457817.62238,17.745,0.0310128988
2.0286498029,2457817.62588585,2457817.62273,17.765,0.0320124961
2.0333692892,2457817.62623588,2457817.62308,17.753,0.0290137883
2.0379539436,2457817.62657591,2457817.62342,17.746,0.0320124956
2.0426734299,2457817.62692594,2457817.62377,17.693,0.029013788
2.0473929099,2457817.62727597,2457817.62412,17.678,0.027014809
2.0519774325,2457817.62761599,2457817.62446,17.799,0.0340117614
2.0566969125,2457817.62796602,2457817.62481,17.752,0.029013788
2.0614163987,2457817.62831605,2457817.62516,17.748,0.0310128985
2.066135885,2457817.62866608,2457817.62551,17.749,0.0300133283
2.0707204013,2457817.6290061,2457817.62585,17.782,0.0310128986
2.0754398876,2457817.62935613,2457817.6262,17.835,0.0330121175
2.0801593739,2457817.62970616,2457817.62655,17.759,0.0290137876
2.0848788539,2457817.63005619,2457817.6269,17.853,0.0350114253
2.0894635083,2457817.63039622,2457817.62724,17.817,0.0310128985
2.0941828564,2457817.63074624,2457817.62759,17.789,0.0320124959
2.0989023427,2457817.63109627,2457817.62794,17.905,0.0370108081
2.103621829,2457817.6314463,2457817.62829,17.856,0.0340117614
2.1082064834,2457817.63178633,2457817.62863,17.954,0.0360111079
2.1129259634,2457817.63213636,2457817.62898,17.896,0.0350114248
2.1176453178,2457817.63248638,2457817.62933,17.879,0.0350114253
2.1222299659,2457817.63282641,2457817.62967,17.91,0.0330121172
2.1269494522,2457817.63317644,2457817.63002,17.876,0.0330121172
2.1316689385,2457817.63352647,2457817.63037,17.873,0.0330121174
2.1363884248,2457817.6338765,2457817.63072,17.905,0.0320124967
2.1409729411,2457817.63421652,2457817.63106,17.896,0.035011425
2.1456924273,2457817.63456655,2457817.63141,17.923,0.0370108076
2.1504119073,2457817.63491658,2457817.63176,17.932,0.036011108
2.1551313936,2457817.63526661,2457817.63211,17.864,0.0350114254
2.1597159099,2457817.63560663,2457817.63245,17.997,0.0380105234
2.1644353962,2457817.63595666,2457817.6328,17.978,0.0370108079
2.1691548825,2457817.63630669,2457817.63315,17.922,0.0360111079
2.1737395369,2457817.63664672,2457817.63349,17.963,0.0380105236
2.1784590169,2457817.63699675,2457817.63384,17.881,0.0340117619
2.1831783713,2457817.63734677,2457817.63419,17.87,0.0350114251
2.1878978513,2457817.6376968,2457817.63454,17.953,0.0400099974
2.1924825057,2457817.63803683,2457817.63488,17.932,0.036011108
2.197201992,2457817.63838686,2457817.63523,17.961,0.0390102538
2.2019214783,2457817.63873689,2457817.63558,17.976,0.0390102538
2.2066408264,2457817.63908691,2457817.63593,17.936,0.0360111078
2.2112254808,2457817.63942694,2457817.63627,17.988,0.0410097534
2.2159449608,2457817.63977697,2457817.63662,18.006,0.041009754
2.2206644471,2457817.640127,2457817.63697,17.973,0.0380105239
2.2252489697,2457817.64046702,2457817.63731,17.914,0.0380105231
2.2299684497,2457817.64081705,2457817.63766,18.009,0.0390102536
2.2346879359,2457817.64116708,2457817.63801,17.91,0.0350114255
2.2394074222,2457817.64151711,2457817.63836,17.847,0.0360111079
2.2439919385,2457817.64185713,2457817.6387,17.973,0.0410097536
2.2487114248,2457817.64220716,2457817.63905,17.938,0.0390102539
2.2534309048,2457817.64255719,2457817.6394,17.983,0.0410097535
