BJD,JD,V,V_error
2456417.88864543,2456417.88263,17.89,0.11
2456417.90921551,2456417.9032,17.67,0.1
2456424.82052805,2456424.81452,18.09,0.12
2456424.82786801,2456424.82186,17.8,0.11
2456424.83516796,2456424.82916,17.75,0.11
2456424.84252791,2456424.83652,17.63,0.1
2456429.90922657,2456429.90327,17.49,0.1
2456429.91537648,2456429.90942,17.56,0.1
2456429.92158639,2456429.91563,17.57,0.1
2456429.9277863,2456429.92183,17.68,0.1
2456443.80895396,2456443.80333,17.73,0.11
2456443.81572373,2456443.8101,17.9,0.11
2456443.82256349,2456443.81694,17.79,0.11
2456443.82933326,2456443.82371,17.87,0.11
2456454.82191137,2456454.81674,17.54,0.1
2456454.82693113,2456454.82176,17.4,0.1
2456454.83200088,2456454.82683,17.61,0.1
2456454.83710063,2456454.83193,17.63,0.1
2454573.88155542,2454573.8759,17.94,0.08
2454573.88560554,2454573.87995,17.86,0.08
2454573.88966567,2454573.88401,17.67,0.07
2454573.89365579,2454573.888,17.6,0.07
2454591.8345356,2454591.82857,14.1,0.05
2454591.83950562,2454591.83354,14.08,0.05
2454591.84444563,2454591.83848,14.08,0.05
2454591.84934565,2454591.84338,14.11,0.05
2454866.00701409,2454866.00644,17.7,0.07
2454866.0125746,2454866.012,17.96,0.08
2454866.01792508,2454866.01735,18.08,0.08
2454866.02342558,2454866.02285,18.13,0.08
2454877.0374582,2454877.03589,17.73,0.07
2454877.04170858,2454877.04014,17.8,0.07
2454877.04599896,2454877.04443,17.85,0.07
2454877.05033935,2454877.04877,18.03,0.07
2455340.70634783,2455340.70053,17.69,0.07
2455340.71174771,2455340.70593,17.59,0.07
2455340.71703758,2455340.71122,17.5,0.07
2455340.72248746,2455340.71667,17.55,0.07
2456461.72401988,2456461.71921,17.87,0.08
2456461.73298937,2456461.72818,17.92,0.08
2456461.74189887,2456461.73709,17.8,0.07
2456461.75091836,2456461.74611,17.53,0.07
