BJD,JD,V,V_error
2455432.63006995,2455432.62427,13.839,0.018
2455432.63152998,2455432.62573,13.829,0.019
2455432.63226999,2455432.62647,13.826,0.011
2455432.63300001,2455432.6272,13.831,0.013
2455432.63373002,2455432.62793,13.85,0.017
2455432.63446004,2455432.62866,13.835,0.016
2455432.63519005,2455432.62939,13.83,0.018
2455432.63592007,2455432.63012,13.855,0.013
2455432.63664008,2455432.63084,13.855,0.014
2455432.6373701,2455432.63157,13.849,0.013
2455432.63811011,2455432.63231,13.837,0.013
2455432.63884013,2455432.63304,13.827,0.014
2455432.63957014,2455432.63377,13.844,0.013
2455432.64030016,2455432.6345,13.867,0.021
2455432.64103017,2455432.63523,13.852,0.012
2455432.64176019,2455432.63596,13.857,0.011
2455432.6424902,2455432.63669,13.881,0.009
2455432.64322021,2455432.63742,13.874,0.007
2455432.64615028,2455432.64035,13.877,0.01
2455432.64688029,2455432.64108,13.856,0.011
2455432.6476103,2455432.64181,13.861,0.018
2455432.64833032,2455432.64253,13.871,0.01
2455432.64908033,2455432.64328,13.887,0.007
2455432.64980035,2455432.644,13.873,0.009
2455432.65053036,2455432.64473,13.861,0.012
2455432.65126038,2455432.64546,13.88,0.012
2455436.41935641,2455436.41349,17.157,0.082
2455562.40969893,2455562.41111,17.35,0.123
2455829.51751555,2455829.51181,17.48,0.06
2455834.54652309,2455834.54097,17.47,0.065
2455917.44738051,2455917.44792,17.14,0.11
2455944.24519444,2455944.24784,11.903,0.054
2455944.24664434,2455944.24929,11.905,0.054
2455944.24737429,2455944.25002,11.9,0.054
2455944.24810424,2455944.25075,11.909,0.054
2455944.2502941,2455944.25294,11.883,0.054
2455944.251754,2455944.2544,11.909,0.054
2455944.25248395,2455944.25513,11.899,0.054
2455944.2546538,2455944.2573,11.897,0.054
2455944.25538376,2455944.25803,11.9,0.054
2455944.25611371,2455944.25876,11.906,0.054
2455944.25684366,2455944.25949,11.954,0.054
2455944.25831356,2455944.26096,11.914,0.054
2455944.26049341,2455944.26314,11.905,0.054
2455944.26122336,2455944.26387,11.896,0.054
2455944.26194332,2455944.26459,11.914,0.054
2455944.26267327,2455944.26532,11.9,0.054
2455944.26340322,2455944.26605,11.9,0.054
2455944.26413317,2455944.26678,11.909,0.054
2455944.26486312,2455944.26751,11.875,0.054
2455944.26559307,2455944.26824,11.898,0.054
2455944.26632302,2455944.26897,11.919,0.054
2455944.26705297,2455944.2697,11.908,0.054
2455944.26778292,2455944.27043,11.925,0.054
2455944.26851287,2455944.27116,11.899,0.054
2455944.26924282,2455944.27189,11.908,0.054
2455944.26997278,2455944.27262,11.906,0.054
2455944.27069273,2455944.27334,11.912,0.054
2455944.27142268,2455944.27407,11.888,0.054
2455944.27215263,2455944.2748,11.901,0.054
2455944.27288258,2455944.27553,11.902,0.054
2455944.27361253,2455944.27626,11.911,0.054
2455944.27434248,2455944.27699,11.891,0.054
2455944.27507243,2455944.27772,11.897,0.054
2455944.27580238,2455944.27845,11.898,0.054
2455944.27653234,2455944.27918,11.903,0.054
2455944.27726229,2455944.27991,11.899,0.054
2455944.27799224,2455944.28064,11.897,0.054
2455944.27872219,2455944.28137,11.9,0.054
2455944.27944214,2455944.28209,11.884,0.054
2455944.28017209,2455944.28282,11.893,0.054
2455944.28090204,2455944.28355,11.894,0.054
2455944.28163199,2455944.28428,11.895,0.054
2455944.28235194,2455944.285,11.891,0.054
2455944.2830819,2455944.28573,11.883,0.054
2455944.28381185,2455944.28646,11.901,0.054
2455944.2845318,2455944.28718,11.902,0.054
2455944.28526175,2455944.28791,11.888,0.054
2455944.2859817,2455944.28863,11.905,0.054
2455944.28670165,2455944.28935,11.895,0.054
2455944.2874316,2455944.29008,11.889,0.054
2455944.28816155,2455944.29081,11.861,0.054
2455944.28888151,2455944.29153,11.887,0.054
2455944.28961146,2455944.29226,11.887,0.054
2455944.29034141,2455944.29299,11.877,0.054
2455944.29105136,2455944.2937,11.876,0.054
2455944.29178131,2455944.29443,11.877,0.054
2455944.29251126,2455944.29516,11.871,0.054
2455944.29323121,2455944.29588,11.865,0.054
2455944.29396116,2455944.29661,11.864,0.054
2455944.29469112,2455944.29734,11.869,0.054
2455944.29541107,2455944.29806,11.904,0.054
2455944.29613102,2455944.29878,11.894,0.054
2455944.29686097,2455944.29951,11.892,0.054
2455944.29758092,2455944.30023,11.884,0.054
2455944.29831087,2455944.30096,11.883,0.054
2455944.29904082,2455944.30169,11.896,0.054
2455944.29977077,2455944.30242,11.884,0.054
2455944.30049073,2455944.30314,11.908,0.054
2455944.30122068,2455944.30387,11.903,0.054
2455944.30193063,2455944.30458,11.924,0.054
2455944.30299056,2455944.30564,11.892,0.054
2456173.58859925,2456173.58264,17.3,0.1
2456178.61152515,2456178.60556,17.23,0.08
2456183.60454346,2456183.59861,17.19,0.06
2456189.58570609,2456189.57986,12.08,0.01
2456190.48742828,2456190.4816,12.207,0.051
2456192.37128718,2456192.3655,12.441,0.037
2456192.56897257,2456192.56319,12.56,0.01
2456201.53954385,2456201.53403,16.52,0.075
2456201.54006383,2456201.53455,16.358,0.131
2456510.46503937,2456510.45979,12.932,0.004
2456510.46578941,2456510.46054,12.946,0.004
2456510.46656944,2456510.46132,12.945,0.004
2456510.46729948,2456510.46205,12.966,0.004
2456510.46803951,2456510.46279,12.988,0.004
2456510.47091964,2456510.46567,12.977,0.004
2456510.47165967,2456510.46641,12.984,0.004
