Phase,BJD,JD,V,V_error
1.2119418354,2457610.26854807,2457610.26784,13.997,0.0102956301
1.2158516585,2457610.26883805,2457610.26813,14.011,0.0102956301
1.2198961818,2457610.26913802,2457610.26843,14.024,0.0102956301
1.223940705,2457610.26943799,2457610.26873,14.018,0.0108166538
1.2282550175,2457610.26975797,2457610.26905,14.047,0.0108166538
1.2322995408,2457610.27005794,2457610.26935,14.025,0.0102956301
1.236344064,2457610.27035791,2457610.26965,14.022,0.0094339811
1.2405235509,2457610.27066789,2457610.26996,14.003,0.0108166538
1.2444332423,2457610.27095786,2457610.27025,14.003,0.0102956301
1.2488822549,2457610.27128783,2457610.27058,14.006,0.0094339811
1.2530616037,2457610.2715978,2457610.27089,14.026,0.0094339811
1.2568366013,2457610.27187778,2457610.27117,14.007,0.0094339811
1.2610159501,2457610.27218775,2457610.27148,14.028,0.0094339811
1.2650606052,2457610.27248773,2457610.27178,14.031,0.0094339811
1.2692399603,2457610.2727977,2457610.27209,14.038,0.0102956301
1.2734193091,2457610.27310767,2457610.2724,14.032,0.0094339811
1.2774638323,2457610.27340764,2457610.2727,14.008,0.0094339811
1.2854181787,2457610.27399759,2457610.27329,14.024,0.0102956301
1.2900020232,2457610.27433756,2457610.27363,14.009,0.0102956301
1.2940465464,2457610.27463753,2457610.27393,14.008,0.0102956301
1.2979563696,2457610.27492751,2457610.27422,13.995,0.0102956301
1.3020008928,2457610.27522748,2457610.27452,14.017,0.0102956301
1.3061802416,2457610.27553745,2457610.27483,14.033,0.0094339811
1.3102248967,2457610.27583743,2457610.27513,14.013,0.0102956301
1.3145390837,2457610.2761574,2457610.27545,13.988,0.0102956301
1.3185836006,2457610.27645737,2457610.27575,14.024,0.0108166538
1.322628262,2457610.27675735,2457610.27605,14.034,0.0108166538
1.326537947,2457610.27704732,2457610.27634,14.021,0.0108166538
1.3309869659,2457610.27737729,2457610.27667,14.03,0.0108166538
1.334896651,2457610.27766726,2457610.27696,14.026,0.0108166538
1.3393458017,2457610.27799724,2457610.27729,14.028,0.0111803399
1.343255493,2457610.27828721,2457610.27758,14.016,0.0102956301
1.3473000162,2457610.27858718,2457610.27788,14.018,0.0108166538
1.3513446713,2457610.27888716,2457610.27818,14.028,0.0094339811
1.3555240201,2457610.27919713,2457610.27849,14.031,0.0094339811
1.3595685434,2457610.2794971,2457610.27879,14.046,0.01
1.3634783666,2457610.27978708,2457610.27908,14.019,0.0102956301
1.3675228898,2457610.28008705,2457610.27938,14.046,0.0094339811
1.3722415661,2457610.28043702,2457610.27973,14.026,0.0094339811
1.3762860831,2457610.28073699,2457610.28003,14.028,0.0094339811
1.3803307444,2457610.28103697,2457610.28033,14.016,0.0094339811
1.3842404295,2457610.28132694,2457610.28062,14.021,0.0094339811
1.3882849527,2457610.28162691,2457610.28092,14.021,0.0094339811
1.3924644396,2457610.28193689,2457610.28123,14.026,0.0094339811
1.3965089629,2457610.28223686,2457610.28153,14.008,0.0094339811
1.4005534798,2457610.28253683,2457610.28183,14.018,0.0094339811
1.4048676668,2457610.2828568,2457610.28215,14.008,0.0094339811
1.4089123219,2457610.28315678,2457610.28245,14.009,0.0094339811
1.4132265026,2457610.28347675,2457610.28277,14.037,0.0094339811
