BJD,JD,V,V_error
2455913.81878774,2455913.81634,16.648,0.084
2455913.82104774,2455913.8186,16.626,0.084
2455913.82330774,2455913.82086,16.401,0.069
2455913.82554774,2455913.8231,16.471,0.076
2455913.82780773,2455913.82536,16.429,0.07
2455913.83004773,2455913.8276,16.397,0.067
2455913.83231773,2455913.82987,16.705,0.091
2455913.83456773,2455913.83212,16.521,0.08
2455913.83791772,2455913.83547,16.605,0.087
2455913.84017772,2455913.83773,16.549,0.079
2455913.84244772,2455913.84,16.424,0.08
2455913.84469772,2455913.84225,16.569,0.082
2455913.84694772,2455913.8445,16.537,0.081
2455913.84919771,2455913.84675,16.582,0.082
2455913.85144771,2455913.849,16.826,0.105
2455913.85370771,2455913.85126,16.818,0.107
2455913.85594771,2455913.8535,16.696,0.1
2455913.85822771,2455913.85578,16.865,0.123
2455913.8604777,2455913.85803,16.949,0.124
2455913.8627477,2455913.8603,16.489,0.09
2455914.54708694,2455914.54464,16.826,0.087
2455914.55028693,2455914.54784,16.668,0.082
2455914.55347693,2455914.55103,16.582,0.079
2455914.55666692,2455914.55422,16.661,0.079
2455914.55987692,2455914.55743,16.717,0.196
2455914.5727269,2455914.57028,16.676,0.071
2455914.5759469,2455914.5735,16.749,0.073
2455914.57918689,2455914.57674,16.638,0.074
2455914.58239689,2455914.57995,16.622,0.072
2455914.58562689,2455914.58318,16.732,0.082
2455914.58896688,2455914.58652,16.88,0.081
2455914.59220688,2455914.58976,16.78,0.083
2455914.59541687,2455914.59297,16.963,0.096
2455914.59863687,2455914.59619,16.507,0.061
2455914.60185687,2455914.59941,16.73,0.068
2455914.60508686,2455914.60264,16.665,0.066
2455914.60828686,2455914.60584,16.722,0.068
2455914.61151685,2455914.60907,16.611,0.06
2455914.61484685,2455914.6124,16.92,0.086
2455914.61815684,2455914.61571,16.747,0.068
2455914.62147684,2455914.61903,16.808,0.074
2455914.62479683,2455914.62235,16.923,0.083
2455914.68346675,2455914.68102,17.006,0.082
2455914.68641675,2455914.68397,16.99,0.084
2455914.68944675,2455914.687,16.933,0.077
2455914.69247674,2455914.69003,16.9,0.077
2455914.69508674,2455914.69264,16.971,0.08
2455914.69767674,2455914.69523,16.751,0.069
2455914.69988673,2455914.69744,16.761,0.063
2455914.70212673,2455914.69968,16.801,0.067
2455914.70434673,2455914.7019,16.706,0.062
2455914.70656672,2455914.70412,16.87,0.072
2455914.70879672,2455914.70635,16.709,0.061
2455914.71290671,2455914.71046,16.945,0.083
2455914.71513671,2455914.71269,16.937,0.077
2455914.71736671,2455914.71492,17.018,0.09
2455914.7196067,2455914.71716,16.889,0.072
2455914.7218467,2455914.7194,16.771,0.065
2455914.7240667,2455914.72162,16.877,0.072
2455914.7262967,2455914.72385,16.988,0.076
2455914.72853669,2455914.72609,16.645,0.06
2455914.73077669,2455914.72833,16.669,0.061
2455914.73301669,2455914.73057,16.828,0.072
