BJD,JD,V ,V_error
2456488.64126921,2456488.63833,13.574,0.009
2456488.64403899,2456488.6411,13.581,0.009
2456488.64681876,2456488.64388,13.596,0.009
2456488.64957854,2456488.64664,13.615,0.009
2456488.65236832,2456488.64943,13.602,0.009
2456488.65479812,2456488.65186,13.628,0.009
2456488.65722793,2456488.65429,13.613,0.008
2456488.65967773,2456488.65674,13.62,0.009
2456488.66210754,2456488.65917,13.618,0.009
2456488.66454734,2456488.66161,13.574,0.009
2456489.46918258,2456489.46631,13.655,0.009
2456489.47204235,2456489.46917,13.657,0.009
2456489.47488212,2456489.47201,13.67,0.009
2456489.47774189,2456489.47487,13.68,0.009
2456489.48060166,2456489.47773,13.674,0.009
2456489.48346143,2456489.48059,13.677,0.009
2456489.4863212,2456489.48345,13.704,0.009
2456489.48918097,2456489.48631,13.708,0.009
2456489.49204074,2456489.48917,13.722,0.009
2456489.4949105,2456489.49204,13.725,0.009
2456489.49778027,2456489.49491,13.711,0.009
2456489.50062004,2456489.49775,13.692,0.009
2456489.50347981,2456489.50061,13.659,0.009
2456489.50634958,2456489.50348,13.654,0.009
2456489.50942933,2456489.50656,13.63,0.009
2456489.51278906,2456489.50992,13.645,0.009
2456489.51614879,2456489.51328,13.598,0.009
2456489.51948852,2456489.51662,13.569,0.008
2456489.52284825,2456489.51998,13.569,0.009
2456489.52619798,2456489.52333,13.586,0.009
2456489.52955771,2456489.52669,13.633,0.009
2456489.53276745,2456489.5299,13.64,0.009
2456489.53597719,2456489.53311,13.622,0.009
2456489.53919693,2456489.53633,13.64,0.009
2456489.54241667,2456489.53955,13.663,0.009
2456489.54564641,2456489.54278,13.679,0.009
2456489.54886615,2456489.546,13.655,0.009
2456489.55208589,2456489.54922,13.671,0.009
2456489.55531562,2456489.55245,13.668,0.009
2456489.55854536,2456489.55568,13.691,0.01
2456489.5617751,2456489.55891,13.66,0.009
2456489.56500484,2456489.56214,13.685,0.01
2456489.56824458,2456489.56538,13.697,0.01
2456489.57147432,2456489.56861,13.704,0.009
2456489.57471406,2456489.57185,13.697,0.01
2456489.5779438,2456489.57508,13.678,0.01
2456489.58117354,2456489.57831,13.646,0.009
2456489.58441327,2456489.58155,13.628,0.009
2456489.58763301,2456489.58477,13.636,0.009
2456489.59086275,2456489.588,13.63,0.009
2456489.59409249,2456489.59123,13.605,0.009
2456489.59733223,2456489.59447,13.59,0.009
